 CoordinateX,Density,Velocity,Pressure,DummyOutput 
0.995,0.99324807,-0.31027467,990.538097618,0.0
0.985,0.987864302,-0.499016744,983.018955899,0.0
0.975,0.981019253,-0.754679929,973.460770703,0.0
0.965,0.972538335,-1.079899291,961.646430177,0.0
0.955,0.96259428,-1.46654436,947.83879239,0.0
0.945,0.951443365,-1.904211884,932.41936506,0.0
0.935,0.939363961,-2.382346479,915.79763052,0.0
0.925,0.926610898,-2.891613911,898.345020914,0.0
0.915,0.913395893,-3.424383762,880.367249805,0.0
0.905,0.899885346,-3.974680724,862.102064887,0.0
0.895,0.886206343,-4.537914642,843.728790475,0.0
0.885,0.872454927,-5.110569363,825.38089682,0.0
0.875,0.858703798,-5.689926968,807.157535672,0.0
0.865,0.84500857,-6.273848088,789.132786914,0.0
0.855,0.831412503,-6.86060554,771.362615347,0.0
0.845,0.817949986,-7.448761597,753.889942308,0.0
0.835,0.804649048,-8.037078801,736.74828014,0.0
0.825,0.791533146,-8.624456145,719.964302551,0.0
0.815,0.778622405,-9.209884592,703.559629849,0.0
0.805,0.76593446,-9.79241783,687.552027505,0.0
0.795,0.753484963,-10.371155569,671.956156666,0.0
0.785,0.741287844,-10.945237629,656.783975091,0.0
0.775,0.729355348,-11.51384748,642.044864232,0.0
0.765,0.717697911,-12.07622385,627.745550725,0.0
0.755,0.706323922,-12.631678343,613.889896964,0.0
0.745,0.695239425,-13.179615831,600.478653849,0.0
0.735,0.684447877,-13.719552661,587.509296066,0.0
0.725,0.673950074,-14.251125626,574.976090987,0.0
0.715,0.6637444,-14.774082648,562.870578094,0.0
0.705,0.653827581,-15.288244521,551.182647023,0.0
0.695,0.644196115,-15.793426476,539.902390152,0.0
0.685,0.634848528,-16.289309099,529.022866517,0.0
0.675,0.625788569,-16.775250155,518.543852022,0.0
0.665,0.617029377,-17.250032134,508.476575658,0.0
0.655,0.608598591,-17.711545063,498.849353434,0.0
0.645,0.600544239,-18.156412794,489.713895818,0.0
0.635,0.592940978,-18.579590315,481.151768236,0.0
0.625,0.585895656,-18.974003439,473.279798877,0.0
0.615,0.579549922,-19.330389747,466.251828757,0.0
0.605,0.574075507,-19.637640169,460.251912099,0.0
0.595,0.569655443,-19.884083823,455.471665356,0.0
0.585,0.566444488,-20.060109997,452.065040645,0.0
0.575,0.564509757,-20.161933582,450.083178107,0.0
0.565,0.563771537,-20.195053175,449.413113409,0.0
0.555,0.563983888,-20.174892763,449.763756979,0.0
0.545,0.564786479,-20.123021901,450.729919083,0.0
0.535,0.565814008,-20.060406103,451.913903716,0.0
0.525,0.566796489,-20.001849126,453.030276948,0.0
0.515,0.567596908,-19.954363604,453.940185223,0.0
0.505,0.568187444,-19.918926417,454.621016496,0.0
0.495,0.568600206,-19.893393392,455.111757147,0.0
0.485,0.568885175,-19.874816577,455.468233278,0.0
0.475,0.569087104,-19.860648544,455.739317363,0.0
0.465,0.569237915,-19.849099336,455.959585602,0.0
0.455,0.569357219,-19.839071196,456.150349295,0.0
0.445,0.569455598,-19.829959844,456.323370596,0.0
0.435,0.569538331,-19.82145905,456.484613495,0.0
0.425,0.569609642,-19.81341126,456.637123568,0.0
0.415,0.569680482,-19.805713126,456.782874089,0.0
0.405,0.569788371,-19.798271647,456.923637725,0.0
0.395,0.570048859,-19.791004276,457.061035247,0.0
0.385,0.570776552,-19.783859064,457.196148417,0.0
0.375,0.572735738,-19.776842006,457.329067369,0.0
0.365,0.577593241,-19.770025822,457.458776659,0.0
0.355,0.588621169,-19.763534775,457.583615151,0.0
0.345,0.611601964,-19.757499064,457.702288867,0.0
0.335,0.655710404,-19.751997398,457.815351707,0.0
0.325,0.733931077,-19.746991861,457.926863814,0.0
0.315,0.862439401,-19.742285982,458.046443733,0.0
0.305,1.058499748,-19.737515916,458.191509815,0.0
0.295,1.336868195,-19.732360453,458.384759959,0.0
0.285,1.705253319,-19.727571928,458.620149601,0.0
0.275,2.1603122,-19.72408061,458.857349187,0.0
0.265,2.68559294,-19.719119928,459.026235809,0.0
0.255,3.250753104,-19.701013746,458.656113483,0.0
0.245,3.806873648,-19.630653842,455.615430611,0.0
0.235,4.265647971,-19.387507959,443.035898109,0.0
0.225,4.446369642,-18.642671577,403.617813641,0.0
0.215,4.02679359,-16.600144118,307.535450336,0.0
0.205,2.788520778,-11.756991561,146.358425434,0.0
0.195,1.476959669,-3.695252591,21.526570614,0.0
0.185,1.038517326,-0.105716618,0.177017826,0.0
0.175,1.000258898,-4.591e-05,0.010004977,0.0
0.165,1.000000005,-1e-09,0.01,0.0
0.155,1.0,-0.0,0.01,0.0
0.145,1.0,-0.0,0.01,0.0
0.135,1.0,0.0,0.01,0.0
0.125,1.0,0.0,0.01,0.0
0.115,1.0,0.0,0.01,0.0
0.105,1.0,0.0,0.01,0.0
0.095,1.0,0.0,0.01,0.0
0.085,1.0,0.0,0.01,0.0
0.075,1.0,0.0,0.01,0.0
0.065,1.0,0.0,0.01,0.0
0.055,1.0,0.0,0.01,0.0
0.045,1.0,0.0,0.01,0.0
0.035,1.0,0.0,0.01,0.0
0.025,1.0,0.0,0.01,0.0
0.015,1.0,0.0,0.01,0.0
0.005,1.0,0.0,0.01,0.0
