 CoordinateX,Density,Velocity,Pressure,DummyOutput 
0.995,0.989626055,-0.389501132,985.51349575,0.0
0.985,0.984329365,-0.589556169,978.143245738,0.0
0.975,0.977637028,-0.843486369,968.855423513,0.0
0.965,0.969601773,-1.150138649,957.739457157,0.0
0.955,0.960346616,-1.505796718,944.983658324,0.0
0.945,0.950034756,-1.905225065,930.831497469,0.0
0.935,0.938842983,-2.342599945,915.543275936,0.0
0.925,0.926942914,-2.812174776,899.369325779,0.0
0.915,0.914490248,-3.308670048,882.534903397,0.0
0.905,0.901620216,-3.827447913,865.234059958,0.0
0.895,0.888447034,-4.364546172,847.629237976,0.0
0.885,0.875065526,-4.91663385,829.85393937,0.0
0.875,0.861553691,-5.480931015,812.016677806,0.0
0.865,0.847975484,-6.055118354,794.205170725,0.0
0.855,0.834383435,-6.637249974,776.490241429,0.0
0.845,0.820820951,-7.225675356,758.929214799,0.0
0.835,0.807324258,-7.818972206,741.568761182,0.0
0.825,0.793924005,-8.415889829,724.447225572,0.0
0.815,0.780646568,-9.015301713,707.596511813,0.0
0.805,0.767515124,-9.616165763,691.043598394,0.0
0.795,0.754550508,-10.217490632,674.811757415,0.0
0.785,0.741771928,-10.818306766,658.921539224,0.0
0.775,0.729197554,-11.417640897,643.391576176,0.0
0.765,0.716845025,-12.014492811,628.239252053,0.0
0.755,0.704731892,-12.607813174,613.48128033,0.0
0.745,0.692876047,-13.196480932,599.134235528,0.0
0.735,0.681296162,-13.779278337,585.215088516,0.0
0.725,0.670012205,-14.3548608,571.74180933,0.0
0.715,0.659046093,-14.921717572,558.734120128,0.0
0.705,0.64842259,-15.478117724,546.21450456,0.0
0.695,0.638170548,-16.022034257,534.209602443,0.0
0.685,0.628324644,-16.551038147,522.752126877,0.0
0.675,0.618927686,-17.062155269,511.88340779,0.0
0.665,0.610033499,-17.55168534,501.65654159,0.0
0.655,0.601710101,-18.014998263,492.13983079,0.0
0.645,0.594042353,-18.446356496,483.41962151,0.0
0.635,0.587132393,-18.838868201,475.600704429,0.0
0.625,0.581095041,-19.184749944,468.801238794,0.0
0.615,0.576044575,-19.476131318,463.138338045,0.0
0.605,0.572070376,-19.706570793,458.701613693,0.0
0.595,0.569203853,-19.873141334,455.517276613,0.0
0.585,0.567387903,-19.978378138,453.514998136,0.0
0.575,0.566467362,-20.030923952,452.517602177,0.0
0.565,0.566214008,-20.044020446,452.268531296,0.0
0.555,0.566379788,-20.032251735,452.490343608,0.0
0.545,0.566751988,-20.008173852,452.945514145,0.0
0.535,0.567184251,-19.980424736,453.470690993,0.0
0.525,0.567596835,-19.953696996,453.976937885,0.0
0.515,0.567958111,-19.929835628,454.429124871,0.0
0.505,0.56826309,-19.909110943,454.821971889,0.0
0.495,0.568517784,-19.891142764,455.162584857,0.0
0.485,0.568730698,-19.875401765,455.460944994,0.0
0.475,0.568909305,-19.861415475,455.725983759,0.0
0.465,0.569059126,-19.848820826,455.964571726,0.0
0.455,0.569183783,-19.837357419,456.181637993,0.0
0.445,0.569285311,-19.826847564,456.38054442,0.0
0.435,0.569364691,-19.817175246,456.563482678,0.0
0.425,0.56942355,-19.808259761,456.731974594,0.0
0.415,0.569469992,-19.800022275,456.887509114,0.0
0.405,0.569536606,-19.79235854,457.03206383,0.0
0.395,0.5697298,-19.785139372,457.168100511,0.0
0.385,0.570348849,-19.778243305,457.297956145,0.0
0.375,0.572136497,-19.771593533,457.423176944,0.0
0.365,0.57673509,-19.765164884,457.544476022,0.0
0.355,0.587394203,-19.758963446,457.662304503,0.0
0.345,0.609876333,-19.753015857,457.777367241,0.0
0.335,0.653329129,-19.747385564,457.890732936,0.0
0.325,0.730685251,-19.742171953,458.004224948,0.0
0.315,0.858034241,-19.737403827,458.12284238,0.0
0.305,1.052537916,-19.732821035,458.260782614,0.0
0.295,1.328872321,-19.7282811,458.43370839,0.0
0.285,1.694841706,-19.724051101,458.64674563,0.0
0.275,2.147400553,-19.72047253,458.880082447,0.0
0.265,2.670469575,-19.715261405,459.054065126,0.0
0.255,3.234007074,-19.697846677,458.67351495,0.0
0.245,3.789811317,-19.629342408,455.683065305,0.0
0.235,4.251306377,-19.391017679,443.439013196,0.0
0.225,4.441009841,-18.664708338,405.060572597,0.0
0.215,4.044009554,-16.694054538,311.632956653,0.0
0.205,2.857239205,-12.058360146,156.618019326,0.0
0.195,1.554418033,-4.333422717,28.871665617,0.0
0.185,1.056189757,-0.206079113,0.482905685,0.0
0.175,1.000973741,-0.00022756,0.010041773,0.0
0.165,1.000000043,-5e-09,0.010000001,0.0
0.155,1.0,-0.0,0.01,0.0
0.145,1.0,-0.0,0.01,0.0
0.135,1.0,0.0,0.01,0.0
0.125,1.0,0.0,0.01,0.0
0.115,1.0,0.0,0.01,0.0
0.105,1.0,0.0,0.01,0.0
0.095,1.0,0.0,0.01,0.0
0.085,1.0,0.0,0.01,0.0
0.075,1.0,0.0,0.01,0.0
0.065,1.0,0.0,0.01,0.0
0.055,1.0,0.0,0.01,0.0
0.045,1.0,0.0,0.01,0.0
0.035,1.0,0.0,0.01,0.0
0.025,1.0,0.0,0.01,0.0
0.015,1.0,0.0,0.01,0.0
0.005,1.0,0.0,0.01,0.0
