 CoordinateX,Density,Velocity,Pressure,DummyOutput 
0.995,0.983828534,-0.90248909,970.855293745,0.0
0.985,0.975604633,-1.126361126,961.642772429,0.0
0.975,0.967160434,-1.406416835,950.794897635,0.0
0.965,0.958328781,-1.73050864,938.752182561,0.0
0.955,0.94890492,-2.090637716,925.75050983,0.0
0.945,0.938838645,-2.484865761,911.849190313,0.0
0.935,0.928189317,-2.906188963,897.277962761,0.0
0.925,0.917027546,-3.353438617,882.08879412,0.0
0.915,0.90544515,-3.820657033,866.483374268,0.0
0.905,0.893520109,-4.30684605,850.512127493,0.0
0.895,0.881331311,-4.807486945,834.332193057,0.0
0.885,0.868945125,-5.321577421,817.992501368,0.0
0.875,0.85642313,-5.845948637,801.605445332,0.0
0.865,0.843817583,-6.379549643,785.215671472,0.0
0.855,0.831175056,-6.920213212,768.899457742,0.0
0.845,0.818535407,-7.466862177,752.695194205,0.0
0.835,0.805933943,-8.017972331,736.653914009,0.0
0.825,0.79340128,-8.572474175,720.807564451,0.0
0.815,0.780965105,-9.129206067,705.191242448,0.0
0.805,0.768649969,-9.687110956,689.831507844,0.0
0.795,0.756478959,-10.245186875,674.754241149,0.0
0.785,0.744473275,-10.802356919,659.982297788,0.0
0.775,0.732653848,-11.357629532,645.53693847,0.0
0.765,0.721040804,-11.909847305,631.439251722,0.0
0.755,0.709654981,-12.457909399,617.709111017,0.0
0.745,0.698517399,-13.00049869,604.367805593,0.0
0.735,0.687650621,-13.536298169,591.436243503,0.0
0.725,0.677078292,-14.063742313,578.937749552,0.0
0.715,0.666826268,-14.581199045,566.896120133,0.0
0.705,0.656922213,-15.086770919,555.33819423,0.0
0.695,0.647396363,-15.578432563,544.291831439,0.0
0.685,0.638281075,-16.0539068,533.78805596,0.0
0.675,0.629610981,-16.510755818,523.85874745,0.0
0.665,0.621422296,-16.946368467,514.538144347,0.0
0.655,0.613751976,-17.358004971,505.859879183,0.0
0.645,0.60663656,-17.742945985,497.85759433,0.0
0.635,0.600109947,-18.098478777,490.560974809,0.0
0.625,0.594201753,-18.42226212,483.995414245,0.0
0.615,0.588933645,-18.712200264,478.177101625,0.0
0.605,0.584317892,-18.967054395,473.112320146,0.0
0.595,0.580352948,-19.186070568,468.792522165,0.0
0.585,0.577023877,-19.369828148,465.194806497,0.0
0.575,0.574298552,-19.519405678,462.278706758,0.0
0.565,0.572132049,-19.637466292,459.989707991,0.0
0.555,0.570464208,-19.726743379,458.258932728,0.0
0.545,0.569228926,-19.791494107,457.01017191,0.0
0.535,0.568351676,-19.835180766,456.161432251,0.0
0.525,0.567762625,-19.862622314,455.633685673,0.0
0.515,0.567390797,-19.8767982,455.351307231,0.0
0.505,0.567179538,-19.882144022,455.250065618,0.0
0.495,0.567074347,-19.880272089,455.273962473,0.0
0.485,0.567041196,-19.874873308,455.381591574,0.0
0.475,0.567047283,-19.865864809,455.539166991,0.0
0.465,0.567085808,-19.856443858,455.726036283,0.0
0.455,0.567151725,-19.844805061,455.926067952,0.0
0.445,0.567279673,-19.834241972,456.132267466,0.0
0.435,0.567520884,-19.82098317,456.341978177,0.0
0.425,0.568003626,-19.80915716,456.55467783,0.0
0.415,0.568923829,-19.791939418,456.785021854,0.0
0.405,0.570638044,-19.775457806,457.033572919,0.0
0.395,0.57368457,-19.747219679,457.347724555,0.0
0.385,0.578921759,-19.718231931,457.72678849,0.0
0.375,0.587588174,-19.665594611,458.268798944,0.0
0.365,0.601550161,-19.611764487,458.997610374,0.0
0.355,0.623351373,-19.518962878,460.020259664,0.0
0.345,0.656884488,-19.430053135,461.508237417,0.0
0.335,0.707358319,-19.293474818,463.480532026,0.0
0.325,0.783052548,-19.177470033,466.379903781,0.0
0.315,0.895459826,-19.037118701,470.028194075,0.0
0.305,1.064540145,-18.917960928,475.732386769,0.0
0.295,1.318573962,-18.831680851,482.804501695,0.0
0.285,1.670478377,-18.981187332,482.727709971,0.0
0.275,2.060923124,-19.684616225,460.093468104,0.0
0.265,2.583083354,-19.715237442,459.005403917,0.0
0.255,3.153576378,-19.700226345,458.646551126,0.0
0.245,3.720567294,-19.638833151,455.803620256,0.0
0.235,4.201551305,-19.410088405,444.436000793,0.0
0.225,4.421177697,-18.713066007,407.820778528,0.0
0.215,4.064010101,-16.818648709,316.898055601,0.0
0.205,2.905457996,-12.346342897,162.998368042,0.0
0.195,1.57914591,-4.728563785,32.045352311,0.0
0.185,1.063276164,-0.256687513,0.686206302,0.0
0.175,1.00104156,-0.000423936,0.010129069,0.0
0.165,1.000000124,-1.8e-08,0.010000002,0.0
0.155,1.0,-0.0,0.01,0.0
0.145,1.0,-0.0,0.01,0.0
0.135,1.0,0.0,0.01,0.0
0.125,1.0,0.0,0.01,0.0
0.115,1.0,0.0,0.01,0.0
0.105,1.0,0.0,0.01,0.0
0.095,1.0,0.0,0.01,0.0
0.085,1.0,0.0,0.01,0.0
0.075,1.0,0.0,0.01,0.0
0.065,1.0,0.0,0.01,0.0
0.055,1.0,0.0,0.01,0.0
0.045,1.0,0.0,0.01,0.0
0.035,1.0,0.0,0.01,0.0
0.025,1.0,0.0,0.01,0.0
0.015,1.0,0.0,0.01,0.0
0.005,1.0,0.0,0.01,0.0
