 CoordinateX,Density,Velocity,Pressure,DummyOutput 
    0.005000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.015000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.025000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.035000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.045000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.055000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.065000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.075000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.085000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.095000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.105000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.115000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.125000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.135000000,    1.000000000,    0.000000000,    0.010000000,    0.000000000
    0.145000000,    1.000000000,   -0.000000000,    0.010000000,    0.000000000
    0.155000000,    1.000000000,   -0.000000000,    0.010000000,    0.000000000
    0.165000000,    1.000000158,   -0.000000034,    0.010000004,    0.000000000
    0.175000000,    1.000379422,   -0.000843555,    0.010380304,    0.000000000
    0.185000000,    1.038388151,   -0.308667542,    1.154214848,    0.000000000
    0.195000000,    1.466038858,   -4.645033484,   35.563644488,    0.000000000
    0.205000000,    2.491189914,  -11.524454579,  150.546783715,    0.000000000
    0.215000000,    3.381809998,  -15.930226859,  288.305924084,    0.000000000
    0.225000000,    3.717986513,  -18.175533688,  385.147089165,    0.000000000
    0.235000000,    3.611410796,  -19.168465772,  433.000254286,    0.000000000
    0.245000000,    3.293695962,  -19.548459917,  451.194506480,    0.000000000
    0.255000000,    2.915454832,  -19.676146585,  456.762607895,    0.000000000
    0.265000000,    2.544275027,  -19.716347692,  458.110864669,    0.000000000
    0.275000000,    2.205441263,  -19.730541470,  458.282725201,    0.000000000
    0.285000000,    1.907323262,  -19.738014865,  458.173682943,    0.000000000
    0.295000000,    1.651418823,  -19.744007828,  458.010102306,    0.000000000
    0.305000000,    1.435905039,  -19.749787650,  457.842529495,    0.000000000
    0.315000000,    1.257201565,  -19.755635471,  457.680850032,    0.000000000
    0.325000000,    1.110894126,  -19.761609546,  457.526499073,    0.000000000
    0.335000000,    0.992381774,  -19.767708102,  457.379022273,    0.000000000
    0.345000000,    0.897236477,  -19.773912670,  457.237894946,    0.000000000
    0.355000000,    0.821483603,  -19.780177811,  457.102515804,    0.000000000
    0.365000000,    0.761595933,  -19.786446543,  456.973018077,    0.000000000
    0.375000000,    0.714642907,  -19.792622224,  456.849774545,    0.000000000
    0.385000000,    0.678067163,  -19.798585221,  456.734398144,    0.000000000
    0.395000000,    0.649868316,  -19.804155525,  456.629042048,    0.000000000
    0.405000000,    0.628260871,  -19.809102437,  456.537752260,    0.000000000
    0.415000000,    0.611934797,  -19.813113514,  456.465432036,    0.000000000
    0.425000000,    0.599672799,  -19.815770441,  456.419967690,    0.000000000
    0.435000000,    0.590641865,  -19.816571360,  456.410091927,    0.000000000
    0.445000000,    0.584041880,  -19.814802233,  456.449531539,    0.000000000
    0.455000000,    0.579360300,  -19.809730854,  456.551629451,    0.000000000
    0.465000000,    0.576102815,  -19.800212899,  456.738493930,    0.000000000
    0.475000000,    0.573968279,  -19.785302142,  457.027813933,    0.000000000
    0.485000000,    0.572680050,  -19.763282722,  457.452847748,    0.000000000
    0.495000000,    0.572071754,  -19.733116407,  458.033450873,    0.000000000
    0.505000000,    0.572014171,  -19.692413975,  458.816238182,    0.000000000
    0.515000000,    0.572420077,  -19.640324807,  459.818195719,    0.000000000
    0.525000000,    0.573254571,  -19.573754598,  461.100440529,    0.000000000
    0.535000000,    0.574470152,  -19.492393037,  462.670798041,    0.000000000
    0.545000000,    0.576089502,  -19.392529677,  464.604013899,    0.000000000
    0.555000000,    0.578077483,  -19.274754391,  466.892336870,    0.000000000
    0.565000000,    0.580488804,  -19.134973809,  469.620645345,    0.000000000
    0.575000000,    0.583284750,  -18.974870235,  472.762199369,    0.000000000
    0.585000000,    0.586534175,  -18.790324495,  476.405950169,    0.000000000
    0.595000000,    0.590188934,  -18.584033645,  480.507569342,    0.000000000
    0.605000000,    0.594318822,  -18.352263594,  485.152417410,    0.000000000
    0.615000000,    0.598867994,  -18.098391768,  490.284583478,    0.000000000
    0.625000000,    0.603897582,  -17.819428387,  495.978371725,    0.000000000
    0.635000000,    0.609349787,  -17.518970983,  502.174603265,    0.000000000
    0.645000000,    0.615271223,  -17.194983110,  508.931252298,    0.000000000
    0.655000000,    0.621608232,  -16.850864908,  516.193458104,    0.000000000
    0.665000000,    0.628391007,  -16.485547765,  524.001029723,    0.000000000
    0.675000000,    0.635574026,  -16.101973217,  532.308152745,    0.000000000
    0.685000000,    0.643172529,  -15.699888994,  541.138001107,    0.000000000
    0.695000000,    0.651150366,  -15.281692353,  550.455234397,    0.000000000
    0.705000000,    0.659511324,  -14.847708047,  560.270100232,    0.000000000
    0.715000000,    0.668227772,  -14.399828807,  570.556742805,    0.000000000
    0.725000000,    0.677296072,  -13.938712769,  581.316820623,    0.000000000
    0.735000000,    0.686695282,  -13.465844711,  592.531859640,    0.000000000
    0.745000000,    0.696417775,  -12.982023306,  604.198688839,    0.000000000
    0.755000000,    0.706447378,  -12.488428331,  616.304000813,    0.000000000
    0.765000000,    0.716774828,  -11.985875717,  628.842399493,    0.000000000
    0.775000000,    0.727387107,  -11.475327085,  641.803870436,    0.000000000
    0.785000000,    0.738274559,  -10.957555481,  655.182175433,    0.000000000
    0.795000000,    0.749426028,  -10.433373310,  668.969068186,    0.000000000
    0.805000000,    0.760831793,   -9.903498194,  683.157787659,    0.000000000
    0.815000000,    0.772481389,   -9.368652781,  697.740427985,    0.000000000
    0.825000000,    0.784364583,   -8.829521680,  712.709076663,    0.000000000
    0.835000000,    0.796470255,   -8.286800565,  728.054424160,    0.000000000
    0.845000000,    0.808786400,   -7.741195235,  743.765699851,    0.000000000
    0.855000000,    0.821299241,   -7.193458073,  759.829491356,    0.000000000
    0.865000000,    0.833992557,   -6.644413307,  776.228789840,    0.000000000
    0.875000000,    0.846846456,   -6.095003718,  792.941284111,    0.000000000
    0.885000000,    0.859835860,   -5.546346513,  809.937208217,    0.000000000
    0.895000000,    0.872928280,   -4.999814408,  827.176187391,    0.000000000
    0.905000000,    0.886080751,   -4.457145811,  844.602857150,    0.000000000
    0.915000000,    0.899235499,   -3.920599314,  862.140641845,    0.000000000
    0.925000000,    0.912313930,   -3.393165850,  879.683087494,    0.000000000
    0.935000000,    0.925208499,   -2.878853088,  897.082074977,    0.000000000
    0.945000000,    0.937772402,   -2.383041313,  914.132777178,    0.000000000
    0.955000000,    0.949808304,   -1.912863252,  930.557010688,    0.000000000
    0.965000000,    0.961060534,   -1.477444178,  945.991212049,    0.000000000
    0.975000000,    0.971220936,   -1.087634385,  959.993584325,    0.000000000
    0.985000000,    0.979963755,   -0.754691120,  972.092707614,    0.000000000
    0.995000000,    0.986993730,   -0.488554434,  981.856797145,    0.000000000

