 CoordinateX,Density,Velocity,Pressure,DummyOutput 
0.995,0.990545948,-0.354803874,986.796301752,0.0
0.985,0.985539224,-0.543722384,979.82710263,0.0
0.975,0.979133462,-0.786477203,970.932887373,0.0
0.965,0.971360592,-1.082679075,960.173648236,0.0
0.955,0.962329639,-1.42914023,947.718173844,0.0
0.945,0.952197181,-1.820896818,933.80106294,0.0
0.935,0.941139253,-2.252188514,918.682185248,0.0
0.925,0.929330405,-2.71719836,902.616701057,0.0
0.915,0.916930987,-3.21051131,885.83711161,0.0
0.905,0.904081218,-3.727338691,868.545131614,0.0
0.895,0.89089981,-4.263582718,850.910123439,0.0
0.885,0.877485204,-4.815807863,833.071222689,0.0
0.875,0.863918005,-5.381167025,815.141134573,0.0
0.865,0.850263779,-5.957312183,797.210378034,0.0
0.855,0.836575766,-6.54230572,779.351334044,0.0
0.845,0.82289728,-7.1345399,761.621818217,0.0
0.835,0.80926377,-7.732666958,744.068102284,0.0
0.825,0.795704533,-8.335539645,726.727411509,0.0
0.815,0.782244124,-8.942160805,709.629969002,0.0
0.805,0.768903538,-9.55164011,692.800670827,0.0
0.795,0.755701197,-10.163155884,676.260474315,0.0
0.785,0.742653812,-10.775920013,660.027575163,0.0
0.775,0.729777159,-11.389143853,644.118441484,0.0
0.765,0.717086829,-12.002003003,628.54876737,0.0
0.755,0.704598976,-12.61359859,613.334405915,0.0
0.745,0.692331145,-13.222912308,598.492342549,0.0
0.735,0.680303213,-13.82875193,584.041774045,0.0
0.725,0.668538507,-14.429683247,570.005366334,0.0
0.715,0.657065202,-15.023943574,556.410773472,0.0
0.705,0.645918042,-15.609331244,543.292506344,0.0
0.695,0.635140495,-16.183065576,530.694232389,0.0
0.685,0.624787361,-16.741613885,518.671544459,0.0
0.675,0.614927772,-17.280488953,507.295114345,0.0
0.665,0.605648229,-17.794036637,496.65386799,0.0
0.655,0.597054854,-18.275266146,486.857272157,0.0
0.645,0.589273121,-18.715832159,478.03489727,0.0
0.635,0.582442189,-19.106355673,470.33017444,0.0
0.625,0.57670005,-19.437332895,463.884299826,0.0
0.615,0.572156635,-19.700827677,458.807206309,0.0
0.605,0.568857014,-19.892821464,455.137895247,0.0
0.595,0.566746542,-20.015469359,452.806849592,0.0
0.585,0.565658343,-20.07795764,451.622648534,0.0
0.575,0.565339358,-20.09493573,451.300540671,0.0
0.565,0.565509434,-20.082882278,451.527223399,0.0
0.555,0.565924711,-20.056211322,452.030520629,0.0
0.545,0.566415134,-20.024975626,452.620719753,0.0
0.535,0.566887024,-19.99469723,453.193364995,0.0
0.525,0.567303075,-19.967556976,453.706994403,0.0
0.515,0.56765757,-19.943866201,454.15552059,0.0
0.505,0.567957646,-19.92317568,454.547319716,0.0
0.495,0.56821292,-19.904887497,454.893641371,0.0
0.485,0.568431338,-19.888498303,455.203977509,0.0
0.475,0.568618357,-19.873645324,455.485173102,0.0
0.465,0.568777412,-19.860076723,455.741978854,0.0
0.455,0.568910579,-19.84760944,455.977846989,0.0
0.445,0.569019085,-19.836098599,456.195509979,0.0
0.435,0.569103807,-19.825422466,456.397264758,0.0
0.425,0.569166778,-19.81547831,456.585050337,0.0
0.415,0.569216897,-19.806182484,456.760445504,0.0
0.405,0.569288476,-19.797470413,456.924670575,0.0
0.395,0.569492694,-19.789295711,457.078610925,0.0
0.385,0.570140857,-19.78162868,457.222864721,0.0
0.375,0.572000896,-19.774451765,457.357874714,0.0
0.365,0.576759049,-19.767747839,457.484243424,0.0
0.355,0.587728844,-19.761483165,457.603225199,0.0
0.345,0.610748603,-19.755597364,457.717198903,0.0
0.335,0.655031293,-19.750011958,457.829946841,0.0
0.325,0.73352881,-19.744651989,457.946866021,0.0
0.315,0.86226559,-19.739465772,458.075322404,0.0
0.305,1.05822537,-19.734450126,458.224704194,0.0
0.295,1.335805101,-19.729736642,458.404048911,0.0
0.285,1.702503272,-19.725568749,458.618993779,0.0
0.275,2.155071855,-19.722002156,458.856383636,0.0
0.265,2.677389406,-19.716401305,459.035626672,0.0
0.255,3.239356924,-19.697700934,458.628131109,0.0
0.245,3.792202717,-19.625842436,455.470062508,0.0
0.235,4.247952494,-19.378404191,442.754698491,0.0
0.225,4.427368943,-18.633265021,403.530298241,0.0
0.215,4.019957101,-16.651907419,309.838359026,0.0
0.205,2.847170402,-12.112022356,157.839395241,0.0
0.195,1.566419573,-4.608533806,31.436610741,0.0
0.185,1.057749481,-0.279207213,0.657680639,0.0
0.175,1.001386933,-0.00066878,0.010135975,0.0
0.165,1.000000168,-2e-08,0.010000002,0.0
0.155,1.0,-0.0,0.01,0.0
0.145,1.0,-0.0,0.01,0.0
0.135,1.0,0.0,0.01,0.0
0.125,1.0,0.0,0.01,0.0
0.115,1.0,0.0,0.01,0.0
0.105,1.0,0.0,0.01,0.0
0.095,1.0,0.0,0.01,0.0
0.085,1.0,0.0,0.01,0.0
0.075,1.0,0.0,0.01,0.0
0.065,1.0,0.0,0.01,0.0
0.055,1.0,0.0,0.01,0.0
0.045,1.0,0.0,0.01,0.0
0.035,1.0,0.0,0.01,0.0
0.025,1.0,0.0,0.01,0.0
0.015,1.0,0.0,0.01,0.0
0.005,1.0,0.0,0.01,0.0
