 CoordinateX,Density,Velocity,Pressure,DummyOutput 
0.995,0.990214925,-0.367263048,986.336397951,0.0
0.985,0.984884697,-0.568507831,978.917522943,0.0
0.975,0.97808309,-0.826461953,969.477158772,0.0
0.965,0.969882823,-1.139282882,958.132908915,0.0
0.955,0.960431612,-1.50236947,945.108047747,0.0
0.945,0.949917164,-1.909586604,930.680411515,0.0
0.935,0.938536337,-2.354353724,915.138018543,0.0
0.925,0.926475019,-2.830363934,898.750437047,0.0
0.915,0.913897781,-3.33196394,881.75438159,0.0
0.905,0.900944447,-3.854292861,864.349264363,0.0
0.895,0.887730721,-4.393277326,846.698534132,0.0
0.885,0.874350774,-4.945554685,828.93377194,0.0
0.875,0.860880526,-5.508369194,811.159683988,0.0
0.865,0.847380912,-6.079465691,793.45900064,0.0
0.855,0.83390081,-6.656992375,775.896836728,0.0
0.845,0.820479541,-7.239416857,758.524374143,0.0
0.835,0.807148929,-7.825455848,741.381880879,0.0
0.825,0.79393497,-8.41401706,724.501146353,0.0
0.815,0.780859193,-9.004151276,707.907432583,0.0
0.805,0.767939745,-9.59501243,691.621038942,0.0
0.795,0.755192299,-10.185823656,675.658567574,0.0
0.785,0.742630803,-10.775847456,660.0339641,0.0
0.775,0.730268128,-11.364358289,644.759396777,0.0
0.765,0.718116664,-11.950615951,629.84602834,0.0
0.755,0.706188875,-12.533838123,615.304728671,0.0
0.745,0.694497882,-13.113170367,601.146773258,0.0
0.735,0.683058073,-13.687651574,587.384572144,0.0
0.725,0.671885815,-14.256172582,574.032476277,0.0
0.715,0.661000293,-14.817425221,561.107712383,0.0
0.705,0.650424524,-15.369838567,548.631502124,0.0
0.695,0.640186619,-15.911498932,536.630423068,0.0
0.685,0.630321318,-16.440050321,525.138060927,0.0
0.675,0.620871825,-16.952573808,514.196970465,0.0
0.665,0.611891884,-17.445448839,503.860880873,0.0
0.655,0.603447875,-17.914209772,494.196906421,0.0
0.645,0.595620394,-18.353430746,485.287191936,0.0
0.635,0.588504277,-18.756705446,477.22886976,0.0
0.625,0.58220529,-19.116835418,470.130434904,0.0
0.615,0.576831064,-19.426385823,464.101910837,0.0
0.605,0.572473909,-19.67876319,459.236266719,0.0
0.595,0.569185382,-19.869828306,455.581909171,0.0
0.585,0.566947966,-19.999705675,453.111985614,0.0
0.575,0.565656451,-20.073988247,451.704174624,0.0
0.565,0.565124289,-20.103378979,451.14763646,0.0
0.555,0.565120339,-20.101441418,451.183260125,0.0
0.545,0.565421584,-20.081374485,451.561509601,0.0
0.535,0.565856442,-20.053376384,452.090061418,0.0
0.525,0.566320059,-20.023725301,452.650405247,0.0
0.515,0.566763129,-19.995466309,453.184891154,0.0
0.505,0.567171904,-19.969643086,453.673632138,0.0
0.495,0.567551773,-19.946345847,454.114791931,0.0
0.485,0.567918737,-19.925336486,454.512784849,0.0
0.475,0.56829798,-19.906325774,454.873026267,0.0
0.465,0.568727512,-19.889060019,455.200284874,0.0
0.455,0.569265733,-19.873332626,455.498460563,0.0
0.445,0.570003052,-19.858974937,455.770758975,0.0
0.435,0.571078127,-19.845851581,456.019783373,0.0
0.425,0.572700599,-19.833842903,456.247876713,0.0
0.415,0.575181011,-19.822842719,456.45717544,0.0
0.405,0.578969891,-19.812740967,456.649957377,0.0
0.395,0.584707606,-19.803409144,456.828946675,0.0
0.385,0.593287832,-19.794698666,456.997388442,0.0
0.375,0.605940181,-19.786463324,457.15868276,0.0
0.365,0.624342931,-19.778600945,457.315661475,0.0
0.355,0.650786347,-19.77108833,457.469980612,0.0
0.345,0.688422787,-19.763980841,457.622168335,0.0
0.335,0.741666357,-19.757375036,457.772398797,0.0
0.325,0.816852895,-19.751367305,457.921433654,0.0
0.315,0.923368135,-19.746028458,458.071434274,0.0
0.305,1.075675428,-19.741289282,458.229391759,0.0
0.295,1.29716276,-19.736561402,458.420671106,0.0
0.285,1.629653521,-19.731895284,458.662157304,0.0
0.275,2.086007046,-19.728023528,458.933316136,0.0
0.265,2.616672303,-19.723262676,459.139922329,0.0
0.255,3.189404383,-19.706502031,458.804909054,0.0
0.245,3.755711401,-19.637971871,455.847899889,0.0
0.235,4.227338509,-19.395839161,443.439723568,0.0
0.225,4.421479663,-18.65083132,404.103877564,0.0
0.215,4.012476109,-16.604558014,307.758818508,0.0
0.205,2.793158581,-11.713052627,147.994762442,0.0
0.195,1.460445974,-3.708809512,22.401206234,0.0
0.185,1.020534614,-0.095712879,0.174031711,0.0
0.175,1.000050858,-3.4821e-05,0.010004573,0.0
0.165,1.000000004,-1e-09,0.01,0.0
0.155,1.0,-0.0,0.01,0.0
0.145,1.0,-0.0,0.01,0.0
0.135,1.0,0.0,0.01,0.0
0.125,1.0,0.0,0.01,0.0
0.115,1.0,0.0,0.01,0.0
0.105,1.0,0.0,0.01,0.0
0.095,1.0,0.0,0.01,0.0
0.085,1.0,0.0,0.01,0.0
0.075,1.0,0.0,0.01,0.0
0.065,1.0,0.0,0.01,0.0
0.055,1.0,0.0,0.01,0.0
0.045,1.0,0.0,0.01,0.0
0.035,1.0,0.0,0.01,0.0
0.025,1.0,0.0,0.01,0.0
0.015,1.0,0.0,0.01,0.0
0.005,1.0,0.0,0.01,0.0
