 CoordinateX,Density,Velocity,Pressure,DummyOutput 
0.995,0.98699373,-0.488554434,981.856797145,0.0
0.985,0.979963755,-0.75469112,972.092707614,0.0
0.975,0.971220936,-1.087634385,959.993584325,0.0
0.965,0.961060534,-1.477444178,945.991212049,0.0
0.955,0.949808304,-1.912863252,930.557010688,0.0
0.945,0.937772402,-2.383041313,914.132777178,0.0
0.935,0.925208499,-2.878853088,897.082074977,0.0
0.925,0.91231393,-3.39316585,879.683087494,0.0
0.915,0.899235499,-3.920599314,862.140641845,0.0
0.905,0.886080751,-4.457145811,844.60285715,0.0
0.895,0.87292828,-4.999814408,827.176187391,0.0
0.885,0.85983586,-5.546346513,809.937208217,0.0
0.875,0.846846456,-6.095003718,792.941284111,0.0
0.865,0.833992557,-6.644413307,776.22878984,0.0
0.855,0.821299241,-7.193458073,759.829491356,0.0
0.845,0.8087864,-7.741195235,743.765699851,0.0
0.835,0.796470255,-8.286800565,728.05442416,0.0
0.825,0.784364583,-8.82952168,712.709076663,0.0
0.815,0.772481389,-9.368652781,697.740427985,0.0
0.805,0.760831793,-9.903498194,683.157787659,0.0
0.795,0.749426028,-10.43337331,668.969068186,0.0
0.785,0.738274559,-10.957555481,655.182175433,0.0
0.775,0.727387107,-11.475327085,641.803870436,0.0
0.765,0.716774828,-11.985875717,628.842399493,0.0
0.755,0.706447378,-12.488428331,616.304000813,0.0
0.745,0.696417775,-12.982023306,604.198688839,0.0
0.735,0.686695282,-13.465844711,592.53185964,0.0
0.725,0.677296072,-13.938712769,581.316820623,0.0
0.715,0.668227772,-14.399828807,570.556742805,0.0
0.705,0.659511324,-14.847708047,560.270100232,0.0
0.695,0.651150366,-15.281692353,550.455234397,0.0
0.685,0.643172529,-15.699888994,541.138001107,0.0
0.675,0.635574026,-16.101973217,532.308152745,0.0
0.665,0.628391007,-16.485547765,524.001029723,0.0
0.655,0.621608232,-16.850864908,516.193458104,0.0
0.645,0.615271223,-17.19498311,508.931252298,0.0
0.635,0.609349787,-17.518970983,502.174603265,0.0
0.625,0.603897582,-17.819428387,495.978371725,0.0
0.615,0.598867994,-18.098391768,490.284583478,0.0
0.605,0.594318822,-18.352263594,485.15241741,0.0
0.595,0.590188934,-18.584033645,480.507569342,0.0
0.585,0.586534175,-18.790324495,476.405950169,0.0
0.575,0.58328475,-18.974870235,472.762199369,0.0
0.565,0.580488804,-19.134973809,469.620645345,0.0
0.555,0.578077483,-19.274754391,466.89233687,0.0
0.545,0.576089502,-19.392529677,464.604013899,0.0
0.535,0.574470152,-19.492393037,462.670798041,0.0
0.525,0.573254571,-19.573754598,461.100440529,0.0
0.515,0.572420077,-19.640324807,459.818195719,0.0
0.505,0.572014171,-19.692413975,458.816238182,0.0
0.495,0.572071754,-19.733116407,458.033450873,0.0
0.485,0.57268005,-19.763282722,457.452847748,0.0
0.475,0.573968279,-19.785302142,457.027813933,0.0
0.465,0.576102815,-19.800212899,456.73849393,0.0
0.455,0.5793603,-19.809730854,456.551629451,0.0
0.445,0.58404188,-19.814802233,456.449531539,0.0
0.435,0.590641865,-19.81657136,456.410091927,0.0
0.425,0.599672799,-19.815770441,456.41996769,0.0
0.415,0.611934797,-19.813113514,456.465432036,0.0
0.405,0.628260871,-19.809102437,456.53775226,0.0
0.395,0.649868316,-19.804155525,456.629042048,0.0
0.385,0.678067163,-19.798585221,456.734398144,0.0
0.375,0.714642907,-19.792622224,456.849774545,0.0
0.365,0.761595933,-19.786446543,456.973018077,0.0
0.355,0.821483603,-19.780177811,457.102515804,0.0
0.345,0.897236477,-19.77391267,457.237894946,0.0
0.335,0.992381774,-19.767708102,457.379022273,0.0
0.325,1.110894126,-19.761609546,457.526499073,0.0
0.315,1.257201565,-19.755635471,457.680850032,0.0
0.305,1.435905039,-19.74978765,457.842529495,0.0
0.295,1.651418823,-19.744007828,458.010102306,0.0
0.285,1.907323262,-19.738014865,458.173682943,0.0
0.275,2.205441263,-19.73054147,458.282725201,0.0
0.265,2.544275027,-19.716347692,458.110864669,0.0
0.255,2.915454832,-19.676146585,456.762607895,0.0
0.245,3.293695962,-19.548459917,451.19450648,0.0
0.235,3.611410796,-19.168465772,433.000254286,0.0
0.225,3.717986513,-18.175533688,385.147089165,0.0
0.215,3.381809998,-15.930226859,288.305924084,0.0
0.205,2.491189914,-11.524454579,150.546783715,0.0
0.195,1.466038858,-4.645033484,35.563644488,0.0
0.185,1.038388151,-0.308667542,1.154214848,0.0
0.175,1.000379422,-0.000843555,0.010380304,0.0
0.165,1.000000158,-3.4e-08,0.010000004,0.0
0.155,1.0,-0.0,0.01,0.0
0.145,1.0,-0.0,0.01,0.0
0.135,1.0,0.0,0.01,0.0
0.125,1.0,0.0,0.01,0.0
0.115,1.0,0.0,0.01,0.0
0.105,1.0,0.0,0.01,0.0
0.095,1.0,0.0,0.01,0.0
0.085,1.0,0.0,0.01,0.0
0.075,1.0,0.0,0.01,0.0
0.065,1.0,0.0,0.01,0.0
0.055,1.0,0.0,0.01,0.0
0.045,1.0,0.0,0.01,0.0
0.035,1.0,0.0,0.01,0.0
0.025,1.0,0.0,0.01,0.0
0.015,1.0,0.0,0.01,0.0
0.005,1.0,0.0,0.01,0.0
