Density,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,arc_length,Point ID,vtkValidPointMask
0.992692,0.4,0,0,0.4,17.8611,0.035469,0.000111764,0,0.0354692,0,0,1
0.992692,0.4,0.001,0,0.400001,17.8611,0.035469,0.000111764,0,0.0354692,0.001,1,1
0.992692,0.4,0.002,0,0.400005,17.8611,0.035469,0.000111764,0,0.0354692,0.002,2,1
0.992692,0.4,0.003,0,0.400011,17.8611,0.035469,0.000111764,0,0.0354692,0.003,3,1
0.992692,0.4,0.004,0,0.40002,17.8611,0.035469,0.000111764,0,0.0354692,0.004,4,1
0.992692,0.4,0.005,0,0.400031,17.8611,0.035469,0.000111764,0,0.0354692,0.005,5,1
0.992769,0.4,0.006,0,0.400045,17.8615,0.106979,0.000625134,0,0.106981,0.006,6,1
0.992769,0.4,0.007,0,0.400061,17.8615,0.106979,0.000625134,0,0.106981,0.007,7,1
0.992769,0.4,0.008,0,0.40008,17.8615,0.106979,0.000625134,0,0.106981,0.008,8,1
0.992769,0.4,0.009,0,0.400101,17.8615,0.106979,0.000625134,0,0.106981,0.009,9,1
0.992769,0.4,0.01,0,0.400125,17.8615,0.106979,0.000625134,0,0.106981,0.01,10,1
0.992769,0.4,0.011,0,0.400151,17.8615,0.106979,0.000625134,0,0.106981,0.011,11,1
0.992901,0.4,0.012,0,0.40018,17.8617,0.179521,0.00167181,0,0.179529,0.012,12,1
0.992901,0.4,0.013,0,0.400211,17.8617,0.179521,0.00167181,0,0.179529,0.013,13,1
0.992901,0.4,0.014,0,0.400245,17.8617,0.179521,0.00167181,0,0.179529,0.014,14,1
0.992901,0.4,0.015,0,0.400281,17.8617,0.179521,0.00167181,0,0.179529,0.015,15,1
0.992901,0.4,0.016,0,0.40032,17.8617,0.179521,0.00167181,0,0.179529,0.016,16,1
0.993094,0.4,0.017,0,0.400361,17.8619,0.252796,0.00325928,0,0.252817,0.017,17,1
0.993094,0.4,0.018,0,0.400405,17.8619,0.252796,0.00325928,0,0.252817,0.018,18,1
0.993094,0.4,0.019,0,0.400451,17.8619,0.252796,0.00325928,0,0.252817,0.019,19,1
0.993094,0.4,0.02,0,0.4005,17.8619,0.252796,0.00325928,0,0.252817,0.02,20,1
0.993094,0.4,0.021,0,0.400551,17.8619,0.252796,0.00325928,0,0.252817,0.021,21,1
0.993094,0.4,0.022,0,0.400605,17.8619,0.252796,0.00325928,0,0.252817,0.022,22,1
0.99335,0.4,0.023,0,0.400661,17.8621,0.326402,0.00540234,0,0.326447,0.023,23,1
0.99335,0.4,0.024,0,0.400719,17.8621,0.326402,0.00540234,0,0.326447,0.024,24,1
0.99335,0.4,0.025,0,0.40078,17.8621,0.326402,0.00540234,0,0.326447,0.025,25,1
0.99335,0.4,0.026,0,0.400844,17.8621,0.326402,0.00540234,0,0.326447,0.026,26,1
0.99335,0.4,0.027,0,0.40091,17.8621,0.326402,0.00540234,0,0.326447,0.027,27,1
0.99335,0.4,0.028,0,0.400979,17.8621,0.326402,0.00540234,0,0.326447,0.028,28,1
0.993665,0.4,0.029,0,0.40105,17.8623,0.399813,0.0080961,0,0.399895,0.029,29,1
0.993665,0.4,0.03,0,0.401123,17.8623,0.399813,0.0080961,0,0.399895,0.03,30,1
0.993665,0.4,0.031,0,0.401199,17.8623,0.399813,0.0080961,0,0.399895,0.031,31,1
0.993665,0.4,0.032,0,0.401278,17.8623,0.399813,0.0080961,0,0.399895,0.032,32,1
0.993665,0.4,0.033,0,0.401359,17.8623,0.399813,0.0080961,0,0.399895,0.033,33,1
0.993665,0.4,0.034,0,0.401442,17.8623,0.399813,0.0080961,0,0.399895,0.034,34,1
0.994037,0.4,0.035,0,0.401528,17.8625,0.472371,0.0113185,0,0.472507,0.035,35,1
0.994037,0.4,0.036,0,0.401617,17.8625,0.472371,0.0113185,0,0.472507,0.036,36,1
0.994037,0.4,0.037,0,0.401708,17.8625,0.472371,0.0113185,0,0.472507,0.037,37,1
0.994037,0.4,0.038,0,0.401801,17.8625,0.472371,0.0113185,0,0.472507,0.038,38,1
0.994037,0.4,0.039,0,0.401897,17.8625,0.472371,0.0113185,0,0.472507,0.039,39,1
0.994037,0.4,0.04,0,0.401995,17.8625,0.472371,0.0113185,0,0.472507,0.04,40,1
0.994037,0.4,0.041,0,0.402096,17.8625,0.472371,0.0113185,0,0.472507,0.041,41,1
0.994461,0.4,0.042,0,0.402199,17.8628,0.543303,0.0150257,0,0.54351,0.042,42,1
0.994461,0.4,0.043,0,0.402305,17.8628,0.543303,0.0150257,0,0.54351,0.043,43,1
0.994461,0.4,0.044,0,0.402413,17.8628,0.543303,0.0150257,0,0.54351,0.044,44,1
0.994461,0.4,0.045,0,0.402523,17.8628,0.543303,0.0150257,0,0.54351,0.045,45,1
0.994461,0.4,0.046,0,0.402636,17.8628,0.543303,0.0150257,0,0.54351,0.046,46,1
0.994461,0.4,0.047,0,0.402752,17.8628,0.543303,0.0150257,0,0.54351,0.047,47,1
0.994928,0.4,0.048,0,0.40287,17.863,0.611736,0.0191488,0,0.612036,0.048,48,1
0.994928,0.4,0.049,0,0.40299,17.863,0.611736,0.0191488,0,0.612036,0.049,49,1
0.994928,0.4,0.05,0,0.403113,17.863,0.611736,0.0191488,0,0.612036,0.05,50,1
0.994928,0.4,0.051,0,0.403238,17.863,0.611736,0.0191488,0,0.612036,0.051,51,1
0.994928,0.4,0.052,0,0.403366,17.863,0.611736,0.0191488,0,0.612036,0.052,52,1
