Density,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,arc_length,Point ID,vtkValidPointMask
0.992246,2,0,0,2,17.8553,0.0158031,9.30536e-06,0,0.0158031,0,0,1
0.992246,2,0.001,0,2,17.8553,0.0158031,9.30536e-06,0,0.0158031,0.001,1,1
0.992246,2,0.002,0,2,17.8553,0.0158031,9.30536e-06,0,0.0158031,0.002,2,1
0.992246,2,0.003,0,2,17.8553,0.0158031,9.30536e-06,0,0.0158031,0.003,3,1
0.992246,2,0.004,0,2,17.8553,0.0158031,9.30536e-06,0,0.0158031,0.004,4,1
0.992246,2,0.005,0,2.00001,17.8553,0.0158031,9.30536e-06,0,0.0158031,0.005,5,1
0.992259,2,0.006,0,2.00001,17.8553,0.0477113,5.25773e-05,0,0.0477114,0.006,6,1
0.992259,2,0.007,0,2.00001,17.8553,0.0477113,5.25773e-05,0,0.0477114,0.007,7,1
0.992259,2,0.008,0,2.00002,17.8553,0.0477113,5.25773e-05,0,0.0477114,0.008,8,1
0.992259,2,0.009,0,2.00002,17.8553,0.0477113,5.25773e-05,0,0.0477114,0.009,9,1
0.992259,2,0.01,0,2.00003,17.8553,0.0477113,5.25773e-05,0,0.0477114,0.01,10,1
0.992259,2,0.011,0,2.00003,17.8553,0.0477113,5.25773e-05,0,0.0477114,0.011,11,1
0.992285,2,0.012,0,2.00004,17.8554,0.0802242,0.000141591,0,0.0802243,0.012,12,1
0.992285,2,0.013,0,2.00004,17.8554,0.0802242,0.000141591,0,0.0802243,0.013,13,1
0.992285,2,0.014,0,2.00005,17.8554,0.0802242,0.000141591,0,0.0802243,0.014,14,1
0.992285,2,0.015,0,2.00006,17.8554,0.0802242,0.000141591,0,0.0802243,0.015,15,1
0.992285,2,0.016,0,2.00006,17.8554,0.0802242,0.000141591,0,0.0802243,0.016,16,1
0.992323,2,0.017,0,2.00007,17.8554,0.113335,0.000277959,0,0.113336,0.017,17,1
0.992323,2,0.018,0,2.00008,17.8554,0.113335,0.000277959,0,0.113336,0.018,18,1
0.992323,2,0.019,0,2.00009,17.8554,0.113335,0.000277959,0,0.113336,0.019,19,1
0.992323,2,0.02,0,2.0001,17.8554,0.113335,0.000277959,0,0.113336,0.02,20,1
0.992323,2,0.021,0,2.00011,17.8554,0.113335,0.000277959,0,0.113336,0.021,21,1
0.992323,2,0.022,0,2.00012,17.8554,0.113335,0.000277959,0,0.113336,0.022,22,1
0.992375,2,0.023,0,2.00013,17.8554,0.147035,0.000464745,0,0.147036,0.023,23,1
0.992375,2,0.024,0,2.00014,17.8554,0.147035,0.000464745,0,0.147036,0.024,24,1
0.992375,2,0.025,0,2.00016,17.8554,0.147035,0.000464745,0,0.147036,0.025,25,1
0.992375,2,0.026,0,2.00017,17.8554,0.147035,0.000464745,0,0.147036,0.026,26,1
0.992375,2,0.027,0,2.00018,17.8554,0.147035,0.000464745,0,0.147036,0.027,27,1
0.992375,2,0.028,0,2.0002,17.8554,0.147035,0.000464745,0,0.147036,0.028,28,1
0.992442,2,0.029,0,2.00021,17.8554,0.181308,0.000704465,0,0.18131,0.029,29,1
0.992442,2,0.03,0,2.00023,17.8554,0.181308,0.000704465,0,0.18131,0.03,30,1
0.992442,2,0.031,0,2.00024,17.8554,0.181308,0.000704465,0,0.18131,0.031,31,1
0.992442,2,0.032,0,2.00026,17.8554,0.181308,0.000704465,0,0.18131,0.032,32,1
0.992442,2,0.033,0,2.00027,17.8554,0.181308,0.000704465,0,0.18131,0.033,33,1
0.992442,2,0.034,0,2.00029,17.8554,0.181308,0.000704465,0,0.18131,0.034,34,1
0.992523,2,0.035,0,2.00031,17.8554,0.216133,0.000999606,0,0.216135,0.035,35,1
0.992523,2,0.036,0,2.00032,17.8554,0.216133,0.000999606,0,0.216135,0.036,36,1
0.992523,2,0.037,0,2.00034,17.8554,0.216133,0.000999606,0,0.216135,0.037,37,1
0.992523,2,0.038,0,2.00036,17.8554,0.216133,0.000999606,0,0.216135,0.038,38,1
0.992523,2,0.039,0,2.00038,17.8554,0.216133,0.000999606,0,0.216135,0.039,39,1
0.992523,2,0.04,0,2.0004,17.8554,0.216133,0.000999606,0,0.216135,0.04,40,1
0.992523,2,0.041,0,2.00042,17.8554,0.216133,0.000999606,0,0.216135,0.041,41,1
0.992619,2,0.042,0,2.00044,17.8554,0.251479,0.00135252,0,0.251482,0.042,42,1
0.992619,2,0.043,0,2.00046,17.8554,0.251479,0.00135252,0,0.251482,0.043,43,1
0.992619,2,0.044,0,2.00048,17.8554,0.251479,0.00135252,0,0.251482,0.044,44,1
0.992619,2,0.045,0,2.00051,17.8554,0.251479,0.00135252,0,0.251482,0.045,45,1
0.992619,2,0.046,0,2.00053,17.8554,0.251479,0.00135252,0,0.251482,0.046,46,1
0.992619,2,0.047,0,2.00055,17.8554,0.251479,0.00135252,0,0.251482,0.047,47,1
0.992732,2,0.048,0,2.00058,17.8555,0.287305,0.00176539,0,0.28731,0.048,48,1
0.992732,2,0.049,0,2.0006,17.8555,0.287305,0.00176539,0,0.28731,0.049,49,1
0.992732,2,0.05,0,2.00062,17.8555,0.287305,0.00176539,0,0.28731,0.05,50,1
0.992732,2,0.051,0,2.00065,17.8555,0.287305,0.00176539,0,0.28731,0.051,51,1
0.992732,2,0.052,0,2.00068,17.8555,0.287305,0.00176539,0,0.28731,0.052,52,1
0.992732,2,0.053,0,2.0007,17.8555,0.287305,0.00176539,0,0.28731,0.053,53,1
0.992861,2,0.054,0,2.00073,17.8555,0.323561,0.00224013,0,0.323568,0.054,54,1
0.992861,2,0.055,0,2.00076,17.8555,0.323561,0.00224013,0,0.323568,0.055,55,1
0.992861,2,0.056,0,2.00078,17.8555,0.323561,0.00224013,0,0.323568,0.056,56,1
0.992861,2,0.057,0,2.00081,17.8555,0.323561,0.00224013,0,0.323568,0.057,57,1
0.992861,2,0.058,0,2.00084,17.8555,0.323561,0.00224013,0,0.323568,0.058,58,1
0.992861,2,0.059,0,2.00087,17.8555,0.323561,0.00224013,0,0.323568,0.059,59,1
0.992861,2,0.06,0,2.0009,17.8555,0.323561,0.00224013,0,0.323568,0.06,60,1
0.993007,2,0.061,0,2.00093,17.8555,0.360183,0.0027783,0,0.360193,0.061,61,1
0.993007,2,0.062,0,2.00096,17.8555,0.360183,0.0027783,0,0.360193,0.062,62,1
0.993007,2,0.063,0,2.00099,17.8555,0.360183,0.0027783,0,0.360193,0.063,63,1
0.993007,2,0.064,0,2.00102,17.8555,0.360183,0.0027783,0,0.360193,0.064,64,1
0.993007,2,0.065,0,2.00106,17.8555,0.360183,0.0027783,0,0.360193,0.065,65,1
0.993007,2,0.066,0,2.00109,17.8555,0.360183,0.0027783,0,0.360193,0.066,66,1
0.993007,2,0.067,0,2.00112,17.8555,0.360183,0.0027783,0,0.360193,0.067,67,1
0.993169,2,0.068,0,2.00116,17.8555,0.397095,0.003381,0,0.397109,0.068,68,1
0.993169,2,0.069,0,2.00119,17.8555,0.397095,0.003381,0,0.397109,0.069,69,1
0.993169,2,0.07,0,2.00122,17.8555,0.397095,0.003381,0,0.397109,0.07,70,1
0.993169,2,0.071,0,2.00126,17.8555,0.397095,0.003381,0,0.397109,0.071,71,1
0.993169,2,0.072,0,2.0013,17.8555,0.397095,0.003381,0,0.397109,0.072,72,1
0.993169,2,0.073,0,2.00133,17.8555,0.397095,0.003381,0,0.397109,0.073,73,1
0.993169,2,0.074,0,2.00137,17.8555,0.397095,0.003381,0,0.397109,0.074,74,1
0.993349,2,0.075,0,2.00141,17.8555,0.434208,0.00404879,0,0.434227,0.075,75,1
0.993349,2,0.076,0,2.00144,17.8555,0.434208,0.00404879,0,0.434227,0.076,76,1
0.993349,2,0.077,0,2.00148,17.8555,0.434208,0.00404879,0,0.434227,0.077,77,1
0.993349,2,0.078,0,2.00152,17.8555,0.434208,0.00404879,0,0.434227,0.078,78,1
0.993349,2,0.079,0,2.00156,17.8555,0.434208,0.00404879,0,0.434227,0.079,79,1
0.993349,2,0.08,0,2.0016,17.8555,0.434208,0.00404879,0,0.434227,0.08,80,1
0.993349,2,0.081,0,2.00164,17.8555,0.434208,0.00404879,0,0.434227,0.081,81,1
0.993546,2,0.082,0,2.00168,17.8556,0.471419,0.00478153,0,0.471444,0.082,82,1
0.993546,2,0.083,0,2.00172,17.8556,0.471419,0.00478153,0,0.471444,0.083,83,1
0.993546,2,0.084,0,2.00176,17.8556,0.471419,0.00478153,0,0.471444,0.084,84,1
0.993546,2,0.085,0,2.00181,17.8556,0.471419,0.00478153,0,0.471444,0.085,85,1
