   iter,         time,  residual(rho),   residual(v1),   residual(v2),    residual(E) 
      1,   0.18963430, 0.51675127E-01, 0.55323447E+00, 0.27825938E+00, 0.35215094E+01
      2,   0.28473215, 0.73978174E-02, 0.22781183E+00, 0.34059784E-01, 0.46747629E+00
      3,   0.37995989, 0.31650032E-02, 0.12804783E+00, 0.16001203E-01, 0.20065627E+00
      4,   0.47520546, 0.22702757E-02, 0.88753814E-01, 0.12361604E-01, 0.14415097E+00
      5,   0.57044382, 0.17983818E-02, 0.68780303E-01, 0.10488646E-01, 0.11577196E+00
      6,   0.66567400, 0.15035471E-02, 0.56554662E-01, 0.91978115E-02, 0.97741994E-01
      7,   0.76090705, 0.12967646E-02, 0.48279470E-01, 0.82486098E-02, 0.84539833E-01
      8,   0.85612816, 0.11551603E-02, 0.42264652E-01, 0.75499285E-02, 0.75311422E-01
      9,   0.95134815, 0.10562299E-02, 0.37697185E-01, 0.70334986E-02, 0.68835222E-01
     10,   1.04656800, 0.94674605E-03, 0.34120277E-01, 0.66980036E-02, 0.61709360E-01
     11,   1.14178761, 0.76933912E-03, 0.31234124E-01, 0.66013010E-02, 0.50238949E-01
     12,   1.23700695, 0.54251498E-03, 0.28800092E-01, 0.66387221E-02, 0.35339092E-01
     13,   1.33222600, 0.43863110E-03, 0.26681759E-01, 0.65473943E-02, 0.27292438E-01
     14,   1.42744478, 0.53909796E-03, 0.24831161E-01, 0.62591914E-02, 0.32434357E-01
     15,   1.52266332, 0.66679489E-03, 0.23219658E-01, 0.59066450E-02, 0.39967516E-01
     16,   1.61788169, 0.73531660E-03, 0.21826357E-01, 0.56166131E-02, 0.43932429E-01
     17,   1.71309993, 0.74246777E-03, 0.20620845E-01, 0.54093336E-02, 0.43975894E-01
     18,   1.80831809, 0.71490838E-03, 0.19567716E-01, 0.52420545E-02, 0.41719237E-01
     19,   1.90353620, 0.67864566E-03, 0.18641055E-01, 0.50522578E-02, 0.38834055E-01
     20,   1.99875430, 0.65393287E-03, 0.17823644E-01, 0.47952162E-02, 0.36709212E-01
     21,   2.09397242, 0.64380573E-03, 0.17102031E-01, 0.44494512E-02, 0.35645340E-01
     22,   2.18919064, 0.63585010E-03, 0.16459136E-01, 0.40402575E-02, 0.34888929E-01
     23,   2.28440910, 0.61421416E-03, 0.15873318E-01, 0.36292530E-02, 0.33378924E-01
     24,   2.37962795, 0.56839170E-03, 0.15323165E-01, 0.32825839E-02, 0.30462369E-01
     25,   2.47484734, 0.50272883E-03, 0.14791822E-01, 0.30394415E-02, 0.26512148E-01
     26,   2.57006745, 0.42499697E-03, 0.14264903E-01, 0.28979567E-02, 0.22208783E-01
     27,   2.66528832, 0.34680354E-03, 0.13739352E-01, 0.28411716E-02, 0.18571754E-01
     28,   2.76051012, 0.27853420E-03, 0.13219952E-01, 0.28548187E-02, 0.16291018E-01
     29,   2.85573294, 0.22547734E-03, 0.12717194E-01, 0.29248818E-02, 0.15279565E-01
     30,   2.95095648, 0.18958920E-03, 0.12241522E-01, 0.30271990E-02, 0.14911421E-01
     31,   3.04618067, 0.17164873E-03, 0.11800570E-01, 0.31306142E-02, 0.14684933E-01
     32,   3.14140541, 0.17040239E-03, 0.11396759E-01, 0.32079667E-02, 0.14423454E-01
     33,   3.23663045, 0.18109487E-03, 0.11028580E-01, 0.32425413E-02, 0.14143286E-01
     34,   3.33185543, 0.19688784E-03, 0.10693505E-01, 0.32292789E-02, 0.13884704E-01
     35,   3.42708021, 0.21013759E-03, 0.10386572E-01, 0.31710017E-02, 0.13536734E-01
     36,   3.52230464, 0.21825395E-03, 0.10100341E-01, 0.30884747E-02, 0.13055488E-01
     37,   3.61752868, 0.21860283E-03, 0.98296060E-02, 0.29957224E-02, 0.12285811E-01
     38,   3.71275229, 0.21225446E-03, 0.95708293E-02, 0.29066067E-02, 0.11240214E-01
     39,   3.80797550, 0.20237904E-03, 0.93207475E-02, 0.28275970E-02, 0.10070833E-01
     40,   3.90319836, 0.19269880E-03, 0.90780387E-02, 0.27583978E-02, 0.90199325E-02
     41,   3.99842096, 0.18655991E-03, 0.88411719E-02, 0.26959184E-02, 0.83473580E-02
     42,   4.09364336, 0.18526809E-03, 0.86103206E-02, 0.26383518E-02, 0.81602188E-02
     43,   4.18886563, 0.18731755E-03, 0.83867019E-02, 0.25854921E-02, 0.82995769E-02
     44,   4.28408783, 0.18973025E-03, 0.81714123E-02, 0.25377414E-02, 0.84800577E-02
     45,   4.37930998, 0.18992569E-03, 0.79656035E-02, 0.24950160E-02, 0.84806125E-02
     46,   4.47453210, 0.18683505E-03, 0.77694306E-02, 0.24556512E-02, 0.82374339E-02
     47,   4.56975420, 0.18077621E-03, 0.75827143E-02, 0.24153778E-02, 0.78066591E-02
     48,   4.66497627, 0.17298536E-03, 0.74035718E-02, 0.23704213E-02, 0.73272207E-02
     49,   4.76019833, 0.16465958E-03, 0.72314933E-02, 0.23195660E-02, 0.69224628E-02
     50,   4.85542039, 0.15598878E-03, 0.70643655E-02, 0.22636208E-02, 0.66130782E-02
     51,   4.95064247, 0.14693178E-03, 0.69011572E-02, 0.22076576E-02, 0.63467247E-02
     52,   5.04586459, 0.13698768E-03, 0.67414881E-02, 0.21543035E-02, 0.60404072E-02
     53,   5.14108678, 0.12654341E-03, 0.65838661E-02, 0.21058378E-02, 0.56765383E-02
     54,   5.23630905, 0.11649958E-03, 0.64269405E-02, 0.20610098E-02, 0.53034509E-02
     55,   5.33153142, 0.10888495E-03, 0.62711684E-02, 0.20200599E-02, 0.50356558E-02
     56,   5.42675389, 0.10506458E-03, 0.61163449E-02, 0.19794300E-02, 0.49452217E-02
     57,   5.52197644, 0.10493373E-03, 0.59636068E-02, 0.19384645E-02, 0.49993590E-02
     58,   5.61719905, 0.10672528E-03, 0.58143505E-02, 0.18958701E-02, 0.50830272E-02
     59,   5.71242169, 0.10880704E-03, 0.56693241E-02, 0.18508214E-02, 0.50988718E-02
     60,   5.80764432, 0.11046450E-03, 0.55289622E-02, 0.18027108E-02, 0.50364100E-02
     61,   5.90286690, 0.11144165E-03, 0.53932937E-02, 0.17496917E-02, 0.49052406E-02
     62,   5.99808942, 0.11156025E-03, 0.52619574E-02, 0.16898856E-02, 0.47303137E-02
     63,   6.09331184, 0.11156903E-03, 0.51344737E-02, 0.16245071E-02, 0.45921029E-02
     64,   6.18853417, 0.11083308E-03, 0.50102593E-02, 0.15523844E-02, 0.44494694E-02
     65,   6.28375641, 0.10940819E-03, 0.48884307E-02, 0.14761842E-02, 0.43070733E-02
     66,   6.37897854, 0.10711599E-03, 0.47687494E-02, 0.13985748E-02, 0.41365338E-02
     67,   6.47420059, 0.10393491E-03, 0.46510700E-02, 0.13213283E-02, 0.39315702E-02
