x, y, Phi, CP_suctionside
     -0.9998166,     -0.0135397,     -3.1280513,      0.9609368
     -0.9990834,     -0.0406091,     -3.1009686,      0.9609368
     -0.9976173,     -0.0676488,     -3.0738859,      0.9617423
     -0.9954196,     -0.0946389,     -3.0468032,      1.0755713
     -0.9924918,     -0.1215595,     -3.0197205,      1.1241001
     -0.9888361,     -0.1483910,     -2.9926378,      1.1241001
     -0.9844551,     -0.1751137,     -2.9655551,      1.1241001
     -0.9793521,     -0.2017079,     -2.9384724,      1.1209315
     -0.9735309,     -0.2281542,     -2.9113897,      1.1109438
     -0.9669956,     -0.2544331,     -2.8843070,      1.0992653
     -0.9597511,     -0.2805255,     -2.8572244,      1.0754939
     -0.9518027,     -0.3064121,     -2.8301417,      0.9877928
     -0.9431562,     -0.3320739,     -2.8030590,      0.8798698
     -0.9338179,     -0.3574922,     -2.7759763,      0.7658248
     -0.9237948,     -0.3826483,     -2.7488936,      0.6520812
     -0.9130942,     -0.4075238,     -2.7218109,      0.5420839
     -0.9017238,     -0.4321004,     -2.6947282,      0.4370858
     -0.8896922,     -0.4563601,     -2.6676455,      0.3370391
     -0.8770079,     -0.4802850,     -2.6405628,      0.2412044
     -0.8636805,     -0.5038577,     -2.6134801,      0.1485659
     -0.8497196,     -0.5270609,     -2.5863974,      0.0580823
     -0.8351355,     -0.5498775,     -2.5593147,     -0.0311759
     -0.8199389,     -0.5722908,     -2.5322320,     -0.1199660
     -0.8041410,     -0.5942844,     -2.5051493,     -0.2088600
     -0.7877532,     -0.6158421,     -2.4780666,     -0.2982586
     -0.7707877,     -0.6369481,     -2.4509839,     -0.3884177
     -0.7532569,     -0.6575870,     -2.4239012,     -0.4795318
     -0.7351736,     -0.6777436,     -2.3968185,     -0.5719756
     -0.7165511,     -0.6974031,     -2.3697358,     -0.6694577
     -0.6977307,     -0.7162406,     -2.3431045,     -0.7797124
     -0.6787426,     -0.7342596,     -2.3169246,     -0.8793222
     -0.6592893,     -0.7517754,     -2.2907446,     -0.9770772
     -0.6393842,     -0.7687760,     -2.2645647,     -1.0722086
     -0.6190409,     -0.7852496,     -2.2383848,     -1.1640344
     -0.5982733,     -0.8011852,     -2.2122048,     -1.2504930
     -0.5770957,     -0.8165716,     -2.1860249,     -1.3312002
     -0.5555226,     -0.8313984,     -2.1598449,     -1.4136191
     -0.5335688,     -0.8456554,     -2.1336650,     -1.4975024
     -0.5112493,     -0.8593328,     -2.1074851,     -1.5819077
     -0.4885794,     -0.8724213,     -2.0813051,     -1.6730278
     -0.4655746,     -0.8849118,     -2.0551252,     -1.7628363
     -0.4422508,     -0.8967959,     -2.0289453,     -1.8356838
     -0.4186239,     -0.9080654,     -2.0027653,     -1.8879728
     -0.3947100,     -0.9187125,     -1.9765854,     -1.9352419
     -0.3705257,     -0.9287300,     -1.9504054,     -1.9781648
     -0.3460874,     -0.9381110,     -1.9242255,     -2.0169205
     -0.3214119,     -0.9468490,     -1.8980456,     -2.0514888
     -0.2965162,     -0.9549381,     -1.8718656,     -2.0817079
     -0.2714172,     -0.9623728,     -1.8456857,     -2.1073776
     -0.2461322,     -0.9691479,     -1.8195057,     -2.1261672
     -0.2206785,     -0.9752588,     -1.7933258,     -2.1438328
     -0.1950736,     -0.9807013,     -1.7671459,     -2.1600522
     -0.1693350,     -0.9854716,     -1.7409659,     -2.1733244
     -0.1434803,     -0.9895666,     -1.7147860,     -2.1859669
     -0.1175273,     -0.9929834,     -1.6886061,     -2.1948045
     -0.0914938,     -0.9957196,     -1.6624261,     -2.1975774
     -0.0653975,     -0.9977734,     -1.6362462,     -2.1975774
     -0.0392565,     -0.9991434,     -1.6100662,     -2.1975774
     -0.0130885,     -0.9998287,     -1.5838863,     -2.1944826
      0.0130885,     -0.9998287,     -1.5577064,     -2.1603447
      0.0392565,     -0.9991434,     -1.5315264,     -2.0815153
      0.0653975,     -0.9977734,     -1.5053465,     -2.0067355
      0.0914938,     -0.9957196,     -1.4791665,     -1.9234676
      0.1175273,     -0.9929834,     -1.4529866,     -1.8929636
      0.1434803,     -0.9895666,     -1.4268067,     -1.8813776
      0.1693350,     -0.9854716,     -1.4006267,     -1.8596159
      0.1950736,     -0.9807013,     -1.3744468,     -1.8425794
      0.2206785,     -0.9752588,     -1.3482668,     -1.8270367
      0.2461322,     -0.9691479,     -1.3220869,     -1.8118340
      0.2714172,     -0.9623728,     -1.2959070,     -1.7941607
      0.2965162,     -0.9549381,     -1.2697270,     -1.7648834
      0.3214119,     -0.9468490,     -1.2435471,     -1.7017022
      0.3460874,     -0.9381110,     -1.2173672,     -1.5760533
      0.3705257,     -0.9287300,     -1.1911872,     -1.4646777
      0.3947100,     -0.9187125,     -1.1650073,     -1.3406070
      0.4186239,     -0.9080654,     -1.1388273,     -1.2751954
      0.4422508,     -0.8967959,     -1.1126474,     -1.2634764
      0.4655746,     -0.8849118,     -1.0864675,     -1.2634764
      0.4885794,     -0.8724213,     -1.0602875,     -1.2648970
      0.5112493,     -0.8593328,     -1.0341076,     -1.3574061
      0.5335688,     -0.8456554,     -1.0079276,     -1.3147866
      0.5555226,     -0.8313984,     -0.9817477,     -1.5580105
      0.5770957,     -0.8165716,     -0.9555678,     -1.5772018
      0.5982733,     -0.8011852,     -0.9293878,     -1.4963664
      0.6190409,     -0.7852496,     -0.9032079,     -1.4089553
      0.6393842,     -0.7687760,     -0.8770279,     -1.4120665
      0.6592893,     -0.7517754,     -0.8508480,     -1.3978023
      0.6787426,     -0.7342596,     -0.8246681,     -1.3603472
      0.6977307,     -0.7162406,     -0.7984881,     -1.3259266
      0.7141489,     -0.6999215,     -0.7753372,     -1.2926367
      0.7282264,     -0.6852597,     -0.7550099,     -1.2762389
      0.7422809,     -0.6700070,     -0.7342677,     -1.2762389
      0.7562928,     -0.6541459,     -0.7131023,     -1.2716882
      0.7702414,     -0.6376592,     -0.6915049,     -1.2608777
      0.7841041,     -0.6205295,     -0.6694667,     -1.2493768
      0.7978571,     -0.6027396,     -0.6469788,     -1.2375149
      0.8114747,     -0.5842727,     -0.6240319,     -1.2258578
      0.8249295,     -0.5651119,     -0.6006168,     -1.2143027
      0.8381926,     -0.5452408,     -0.5767237,     -1.2028656
      0.8512329,     -0.5246436,     -0.5523431,     -1.1916682
      0.8640177,     -0.5033047,     -0.5274649,     -1.1809137
      0.8765119,     -0.4812094,     -0.5020790,     -1.1706036
      0.8886787,     -0.4583438,     -0.4761750,     -1.1607784
      0.9004789,     -0.4346948,     -0.4497423,     -1.1508361
      0.9118712,     -0.4102503,     -0.4227702,     -1.1399935
      0.9228121,     -0.3849996,     -0.3952477,     -1.1272932
      0.9332554,     -0.3589333,     -0.3671635,     -1.1118037
      0.9431530,     -0.3320435,     -0.3385061,     -1.0926462
      0.9524540,     -0.3043243,     -0.3092639,     -1.0687934
      0.9611051,     -0.2757715,     -0.2794248,     -1.0409247
      0.9690504,     -0.2463834,     -0.2489769,     -1.0063651
