x, y, Phi, CP_pressureside
     -0.9998166,      0.0135397,      3.1280513,      1.1795841
     -0.9990834,      0.0406091,      3.1009686,      1.2357796
     -0.9976173,      0.0676488,      3.0738859,      1.2357796
     -0.9954196,      0.0946389,      3.0468032,      1.2357796
     -0.9924918,      0.1215595,      3.0197205,      1.2085144
     -0.9888361,      0.1483910,      2.9926378,      1.1905216
     -0.9844551,      0.1751137,      2.9655551,      1.1795872
     -0.9793521,      0.2017079,      2.9384724,      1.1839466
     -0.9735309,      0.2281542,      2.9113897,      1.2016494
     -0.9669956,      0.2544331,      2.8843070,      1.2483688
     -0.9597511,      0.2805255,      2.8572244,      1.2643293
     -0.9518027,      0.3064121,      2.8301417,      1.2643293
     -0.9431562,      0.3320739,      2.8030590,      1.2643293
     -0.9338179,      0.3574922,      2.7759763,      1.2283907
     -0.9237948,      0.3826483,      2.7488936,      1.1598261
     -0.9130942,      0.4075238,      2.7218109,      1.0722138
     -0.9017238,      0.4321004,      2.6947282,      0.9744819
     -0.8896922,      0.4563601,      2.6676455,      0.8638913
     -0.8770079,      0.4802850,      2.6405628,      0.7546641
     -0.8636805,      0.5038577,      2.6134801,      0.6497540
     -0.8497196,      0.5270609,      2.5863974,      0.5488307
     -0.8351355,      0.5498775,      2.5593147,      0.4509909
     -0.8199389,      0.5722908,      2.5322320,      0.3555109
     -0.8041410,      0.5942844,      2.5051493,      0.2617707
     -0.7877532,      0.6158421,      2.4780666,      0.1692687
     -0.7707877,      0.6369481,      2.4509839,      0.0776014
     -0.7532569,      0.6575870,      2.4239012,     -0.0133899
     -0.7351736,      0.6777436,      2.3968185,     -0.1039432
     -0.7165511,      0.6974031,      2.3697358,     -0.1986658
     -0.6977307,      0.7162406,      2.3431045,     -0.3068007
     -0.6787426,      0.7342596,      2.3169246,     -0.4071088
     -0.6592893,      0.7517754,      2.2907446,     -0.5078002
     -0.6393842,      0.7687760,      2.2645647,     -0.6082813
     -0.6190409,      0.7852496,      2.2383848,     -0.7078246
     -0.5982733,      0.8011852,      2.2122048,     -0.8060846
     -0.5770957,      0.8165716,      2.1860249,     -0.9025194
     -0.5555226,      0.8313984,      2.1598449,     -1.0027941
     -0.5335688,      0.8456554,      2.1336650,     -1.1036473
     -0.5112493,      0.8593328,      2.1074851,     -1.1927924
     -0.4885794,      0.8724213,      2.0813051,     -1.2719995
     -0.4655746,      0.8849118,      2.0551252,     -1.3261369
     -0.4422508,      0.8967959,      2.0289453,     -1.3691096
     -0.4186239,      0.9080654,      2.0027653,     -1.4080261
